cryptocurrency,symbol,date,price_usd,market_cap,volume_24h,price_change_percent_24h,price_change_percent_7d,total_supply,circulating_supply
Bitcoin,BTC,2025-03-24 00:00:00,85787.70914901773,1702009594329.4495,12617587530.619724,0.0,0.0,19853284.0,19853284.0
Ethereum,ETH,2025-03-24 00:00:00,2001.0470230951883,241404254258.0785,7991413702.677865,0.0,0.0,120703159.4902972,120703159.4902972
Tether,USDT,2025-03-24 00:00:00,0.9999640741708669,143482457552.841,17685268960.545044,0.0,0.0,144796521706.9247,144640112847.9336
XRP,XRP,2025-03-24 00:00:00,2.4358937819105337,141666982426.27832,2036803299.3463094,0.0,0.0,99986232255.0,58394167593.0
BNB,BNB,2025-03-24 00:00:00,622.808568853935,90921593695.69312,565395555.6061037,0.0,0.0,145887575.79,145887575.79
Solana,SOL,2025-03-24 00:00:00,132.10106868785385,67460845086.99793,1946961909.8583128,0.0,0.0,598877479.5914825,516600595.7969205
USDC,USDC,2025-03-24 00:00:00,0.9998605920972774,59696955513.089264,4476144516.665154,0.0,0.0,60903888473.28612,60899158217.32691
Dogecoin,DOGE,2025-03-24 00:00:00,0.17217769230516256,25567291759.662663,571990345.4855789,0.0,0.0,148911716383.7052,148897266383.7052
TRON,TRX,2025-03-24 00:00:00,0.22991999084098838,21844644086.55831,593096424.5703949,0.0,0.0,94949549864.75703,94948951498.8779
Cardano,ADA,2025-03-24 00:00:00,0.708589878997602,25514716935.31787,559800879.933612,0.0,0.0,45000000000.0,36010655200.17876
Lido Staked Ether,STETH,2025-03-24 00:00:00,2002.1029793396565,18678189277.794266,16255875.928851387,0.0,0.0,9289382.375387471,9289382.375387471
Wrapped Bitcoin,WBTC,2025-03-24 00:00:00,85692.97204139724,11052779803.57146,90659181.18596268,0.0,0.0,128814.95633878,128814.95633878
LEO Token,LEO,2025-03-24 00:00:00,9.77216092817174,9034917377.48559,2388134.8347079917,0.0,0.0,985239504.0,923663987.9
Chainlink,LINK,2025-03-24 00:00:00,14.428602973898046,9206341070.902578,259494207.92073202,0.0,0.0,1000000000.0,638099971.4505637
Avalanche,AVAX,2025-03-24 00:00:00,19.777603125117867,8206231096.350758,159378923.56782937,0.0,0.0,452713670.4285683,416044305.8511507
Stellar,XLM,2025-03-24 00:00:00,0.28275587804192814,8679001039.763426,158159399.758743,0.0,0.0,50001786892.81785,30824180511.85238
Toncoin,TON,2025-03-24 00:00:00,3.6775425835704754,9114737771.354925,127237872.24321188,0.0,0.0,5127576094.771251,2509919738.378288
Shiba Inu,SHIB,2025-03-24 00:00:00,1.2922105813633066e-05,7621559662.752716,118626366.0307166,0.0,0.0,589504523006463.8,589250416347722.5
USDS,USDS,2025-03-24 00:00:00,0.9996370720387383,8042236193.328886,5362479.972422186,0.0,0.0,7192391610.004856,7192391610.004856
Hedera,HBAR,2025-03-24 00:00:00,0.18553162272670107,7846153718.59188,158129763.39416355,0.0,0.0,50000000000.0,42228651561.95843
Sui,SUI,2025-03-24 00:00:00,2.282426670667294,7244075372.380517,482352942.22841763,0.0,0.0,10000000000.0,3249982900.458887
Wrapped stETH,WSTETH,2025-03-24 00:00:00,2394.0551635835363,8612195589.218374,14668777.11537619,0.0,0.0,3565961.29872003,3565961.29872003
Bitcoin Cash,BCH,2025-03-24 00:00:00,325.0813868815772,6455329629.494664,137533061.95597062,0.0,0.0,19858099.89665078,19858099.89665078
Hyperliquid,HYPE,2025-03-24 00:00:00,16.294290472239876,5415863327.73744,60516273.12649455,0.0,0.0,999990391.0,333928180.0
Litecoin,LTC,2025-03-24 00:00:00,91.39870932152722,6911025677.173443,259623484.09774166,0.0,0.0,75761783.23347135,75759570.73347135
Polkadot,DOT,2025-03-24 00:00:00,4.497209413079835,6853376058.674074,134757520.99115974,0.0,0.0,1522267060.0,1522267060.0
Bitget Token,BGB,2025-03-24 00:00:00,4.923096282968057,5918058783.926369,65238654.068671055,0.0,0.0,1169993089.2,1169993089.2
Binance Bridged USDT (BNB Smart Chain),BSC-USD,2025-03-24 00:00:00,0.9989895822931089,5182666681.975286,160618691.4957267,0.0,0.0,5184994200.618545,5184994200.618545
Ethena USDe,USDE,2025-03-24 00:00:00,0.9991400706847239,5386041005.114974,47060191.55251277,0.0,0.0,4830197621.700232,4830197621.700232
Pi Network,PI,2025-03-24 00:00:00,0.9396917599894098,6345365217.054865,209612444.8068267,0.0,0.0,10636589627.46786,6913783257.854113
WETH,WETH,2025-03-24 00:00:00,2000.9511904108588,5646239976.829714,97316955.73906039,0.0,0.0,2768328.50769902,2768328.50769902
WhiteBIT Coin,WBT,2025-03-24 00:00:00,29.134669984257535,4201583068.1223288,24555558.712754127,0.0,0.0,327258822.0,144118517.10815412
Monero,XMR,2025-03-24 00:00:00,215.6703085841551,3977598507.6944375,48328689.678093635,0.0,0.0,18446744.07370955,18446744.07370955
Wrapped eETH,WEETH,2025-03-24 00:00:00,2125.924546831192,4435578689.748814,11576975.771632116,0.0,0.0,2039769.912583269,2039769.912583269
Coinbase Wrapped BTC,CBBTC,2025-03-24 00:00:00,85759.58432361658,2670055806.3991446,118793268.31144267,0.0,0.0,38890.91588901,38890.91588901
Uniswap,UNI,2025-03-24 00:00:00,6.6708977330049555,4010434726.581814,105379856.09688857,0.0,0.0,1000000000.0,600483073.71
Dai,DAI,2025-03-24 00:00:00,0.9998852953503291,3232096702.488187,120231077.54212964,0.0,0.0,3167287406.131517,3167287406.131517
Pepe,PEPE,2025-03-24 00:00:00,7.3139284881100164e-06,3067232063.671454,367269036.45660335,0.0,0.0,420690000000000.0,420690000000000.0
OKB,OKB,2025-03-24 00:00:00,50.45284884271584,3030456205.333388,7879954.890677164,0.0,0.0,235957685.3,60000000.0
Aptos,APT,2025-03-24 00:00:00,5.708940250016129,3446427846.6308837,72153074.5676151,0.0,0.0,1148687920.20845,618031523.3269073
Gate,GT,2025-03-24 00:00:00,23.205255186063493,2856034751.4328957,6912362.2311628265,0.0,0.0,300000000.0,122910587.76765741
Ondo,ONDO,2025-03-24 00:00:00,0.8449399846134222,2674834584.591486,80555785.18036091,0.0,0.0,10000000000.0,3159107529.0
NEAR Protocol,NEAR,2025-03-24 00:00:00,2.770230344490914,3319010822.5074306,127802510.33619362,0.0,0.0,1245808769.0,1206739138.0
sUSDS,SUSDS,2025-03-24 00:00:00,1.0448547552167375,3315167858.5672116,2159481.11898245,0.0,0.0,2409725456.449248,2409725456.449248
Tokenize Xchange,TKX,2025-03-24 00:00:00,34.37683638063449,2751195261.2634134,11290722.784265522,0.0,0.0,100000000.0,79995999.05112354
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2025-03-24 00:00:00,1.0,1467628840.11,0.0,0.0,0.0,2471081667.259999,2471081667.259999
Bittensor,TAO,2025-03-24 00:00:00,256.31817033849967,2173645235.2123427,47426668.88030801,0.0,0.0,21000000.0,8609410.0
Ethereum Classic,ETC,2025-03-24 00:00:00,17.787383762684556,2685392783.003996,53072782.700139,0.0,0.0,151578157.2271562,151577606.3791562
Internet Computer,ICP,2025-03-24 00:00:00,5.839841312884986,2813957534.962848,42907196.90790458,0.0,0.0,532463201.4406572,485937801.5258975
Cronos,CRO,2025-03-24 00:00:00,0.08053524122745788,2222219876.399971,19104690.885314222,0.0,0.0,97469912991.10217,27469912991.10217
